"Ilgavaisis agurkas, 220 g";"Darþovës ir vaisiai";Darþovës;"Agurkai ir pomidorai";220;g;0,89;4,05;0
"Drobinis pirkiniø maiðelis GYVENTI GERA - ZUIKIS, 1 vnt.";"Namai ir laisvalaikis";"Mamø unija";"Mamø unija";1;vnt.;4;4;0
"Lietuvos Respublikos valstybinë vëliava, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Valstybinë atributika";1;vnt.;19,99;19,99;0
"Lietuvos valstybinë istorinë vëliava, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Valstybinë atributika";1;vnt.;24,99;24,99;0
"Knyga LEGO. DINOZAURØ LABORATORIJA, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra vaikams";1;vnt.;5,49;5,49;0
"Drobinis pirkiniø maiðelis GYVENTI GERA - VËÞYS, 1 vnt.";"Namai ir laisvalaikis";"Mamø unija";;1;vnt.;4;4;0
"Drobinis pirkiniø maiðelis GYVENTI GERA - VASARA, 1 vnt.";"Namai ir laisvalaikis";"Mamø unija";;1;vnt.;4;4;0
"Knyga LEGO CITY. VAÞIUOJAM!, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra vaikams";1;vnt.;5,49;5,49;0
"Drobinis pirkiniø maiðelis GYVENTI GERA - ÐUNIUKAS, 1 vnt.";"Namai ir laisvalaikis";"Mamø unija";"Mamø unija";1;vnt.;4;4;0
"Knyga LEGO. NINJAGO. AUKSINIS NINDZË, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra vaikams";1;vnt.;5,49;5,49;0
"Knyga. R.Bright PEÐTUKAI VOVERIUKAI, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra vaikams";1;vnt.;9,19;9,19;0
"Knyga.GIMTADIENIO SPALVINIMO PLAKATAS, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra vaikams";1;vnt.;4,99;4,99;0
"Knyga.NORIU Á MOKYKLÀ!1 DALIS, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra vaikams";1;vnt.;4,19;4,19;0
"Knyga.RATAI 3. SPALVINIMAS SU LIPDUKAIS, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra vaikams";1;vnt.;0;0;0
"Knyga.L.Þutautë.KAKËS MAKËS TELEFONAS, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra vaikams";1;vnt.;0;0;0
"Knyga.L.van Geel.OPERACIJA MOÈIUTËS PAGROBIMAS, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra vaikams";1;vnt.;7,99;7,99;0
"Knyga.H.Yanagihara.MAÞAS GYVENIMAS, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra vaikams";1;vnt.;17,89;17,89;0
"Knyga.R.Skuèaitë.SPALVOTOS SKAIÈIØ PASAKËLËS, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra vaikams";1;vnt.;18,49;18,49;0
"Knyga.A.Casalis.1 MINUTËS PASAKAITËS PRIEÐ MIEGÀ, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra vaikams";1;vnt.;8,69;8,69;0
"Knyga.KAKË MAKË IR BAISI NETEISYBË, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra vaikams";1;vnt.;7,89;7,89;0
"Knyga.SKAIÈIAI. KATINO TEODORO MOKYKLËLË, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra vaikams";1;vnt.;1,99;1,99;0
"Knyga.DÞYRU DÞYRU MUZIKËLË.TARTÁ LAVINANÈIOS DAINELËS, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra vaikams";1;vnt.;18,49;18,49;0
"Knyga.L.Þutautë.KAKË MAKË IR DRAUGYSTËS ÐLUOTA, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra vaikams";1;vnt.;7,79;7,79;0
"Knyga.I.Bakðë. KUTIS AKADEMIJA A LYGIS, 10 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra vaikams";10;vnt.;9,99;1;0
"Knyga.MIKË PÛKUOTUKAS. PASAKËLËS APIE GERUMÀ, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra vaikams";1;vnt.;13,99;13,99;0
"Knyga.L.Sarah.GERIAUSI DRAUGAI, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra vaikams";1;vnt.;7,39;7,39;0
"Knyga.MINECRAFT. DIDVYRIØ KNYGA, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra vaikams";1;vnt.;7,99;7,99;0
"Knyga.RAIDËS. KATINO TEODORO MOKYKLËLË, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra vaikams";1;vnt.;1,99;1,99;0
"Knyga.DIDÞIOJI PASAKØ KNYGA, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra vaikams";1;vnt.;13,49;13,49;0
"Knyga.ROBLOX 100% NEOFICIALI 2021 METØ KNYGA, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra vaikams";1;vnt.;8,99;8,99;0
"Knyga.KUTIS.LIPINU.LABANAKT,MAÞYLI, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra vaikams";1;vnt.;1,99;1,99;0
"Knyga.MY LITTLE PONY. SPALVINK PAGAL PAVYZDÁ SU LIPDUKAIS, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra vaikams";1;vnt.;2,99;2,99;0
"Knyga.KUTIS.JUNGIU.LINKSMI GYVÛNËLIAI, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra vaikams";1;vnt.;1,99;1,99;0
"Knyga.I.Kazymirkienë.SKIEMEN.DËLION..JUNG.SKIEM.,SKAIT.ÞODÞ., 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra vaikams";1;vnt.;12,99;12,99;0
"Knyga. NETVARKOS NYKÐTUKO ENCIKLOPEDIJA. ÁDOMIAUSI IÐRADIMAI, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra vaikams";1;vnt.;14,29;14,29;0
"Knyga.E.Minkuvienë,A.Didþgalvienë.KELIONË PO LIETUVÀ, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra vaikams";1;vnt.;14,99;14,99;0
"Knyga.D.Dmuchovska.DARBELIAI VAIKAMS, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra vaikams";1;vnt.;15,49;15,49;0
"Knyga.J.K.Rowling.HARIS POTERIS IR PRAKEIKTAS VAIKAS, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra vaikams";1;vnt.;10,29;10,29;0
"Knyga.BROLIØ GRIMØ GRAÞIAUSIOS PASAKOS, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra vaikams";1;vnt.;9,99;9,99;0
"Knyga. Þivilë Agurkytë MIAU MADOS. SUPERMODELIØ ATOSTOGOS, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra vaikams";1;vnt.;3,9;3,9;0
"Knyga.ÐIAUÐIUKAI IR ÐVENTËS, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra vaikams";1;vnt.;3,99;3,99;0
"Knyga.1000 KLAUSIMØ IR ATSAKYMØ.LIETUVOS TÛKSTANTMEÈIO VAIK., 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra vaikams";1;vnt.;21,39;21,39;0
"Knyga.ÐIAUÐIUKAI IR SPALVOS, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra vaikams";1;vnt.;3,99;3,99;0
"Knyga.P.Butchart.ÐNIPË KURIAI PATIKO MOKYKLOS PIETÛS, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra vaikams";1;vnt.;10,69;10,69;0
"Knyga.I.Bakðë KUTIS AKADEMIJA C LYGIS, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra vaikams";1;vnt.;12,89;12,89;0
"Knyga.SPALVINU ABËCËLÆ, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra vaikams";1;vnt.;3,19;3,19;0
"Knyga.E.Kästner.DVYNUKËS, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra vaikams";1;vnt.;7,99;7,99;0
"Knyga.20 BERNIUKØ KURIE PAKEITË PASAULÁ, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra vaikams";1;vnt.;13,29;13,29;0
"Knyga.ÐIAUÐIUKAI IR SKAIÈIUKAI, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra vaikams";1;vnt.;3,99;3,99;0
"Knyga.KAI MËNULYJE BUVAU. ÁGARSINTI EILËRAÐÈIAI, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra vaikams";1;vnt.;15,99;15,99;0
"Knyga.J.K.Rowling.HARIS POTERIS IR UGNIES TAURË. 4 DALIS, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra vaikams";1;vnt.;15,59;15,59;0
"Knyga.PRINCESËS SAPNØ ÐALIES PASAKOS, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra vaikams";1;vnt.;17,99;17,99;0
"Knyga.J.K.Rowling.HARIS POTERIS IR NETIKRAS PRINCAS. 6 DALIS, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra vaikams";1;vnt.;15,59;15,59;0
"Knyga.J.K.Rowling.HARIS POTERIS IR AZKABANO KALINYS. 3 DALIS, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra vaikams";1;vnt.;12,19;12,19;0
